Season,Team1ID,Team2ID,Team1Name,Team2Name,Team1_WinPct,Team1_AvgPointsFor,Team1_AvgPointsAgainst,Team1_PointDiff,Team1_NumGames,Team1_Seed,Team2_WinPct,Team2_AvgPointsFor,Team2_AvgPointsAgainst,Team2_PointDiff,Team2_NumGames,Team2_Seed,H2H_Team1Wins,H2H_Team2Wins,Diff_WinPct,Diff_PointDiff,Diff_Seed,SameConference,Result
2003,3130,3330,Boston College,Old Dominion,0.7142857142857143,70.53571428571429,59.714285714285715,10.821428571428577,28,5.0,0.6774193548387096,68.6774193548387,60.193548387096776,8.483870967741929,31,12.0,0,0,0.03686635944700467,2.3375576036866477,7.0,0,1
2003,3160,3140,Colorado,BYU,0.7586206896551724,67.06896551724138,58.6551724137931,8.413793103448278,29,6.0,0.6333333333333333,67.0,60.53333333333333,6.466666666666669,30,11.0,0,0,0.12528735632183907,1.947126436781609,5.0,0,1
2003,3208,3150,Georgia,Charlotte,0.6785714285714286,77.28571428571429,64.35714285714286,12.92857142857143,28,5.0,0.7241379310344828,71.79310344827586,64.75862068965517,7.034482758620683,29,12.0,0,0,-0.04556650246305416,5.894088669950747,7.0,0,1
2003,3261,3402,LSU,Texas St,0.9,76.6,58.1,18.499999999999993,30,1.0,0.5806451612903226,63.74193548387097,63.903225806451616,-0.16129032258064768,31,16.0,1,0,0.3193548387096774,18.66129032258064,15.0,0,1
2003,3278,3408,Minnesota,Tulane,0.8214285714285714,79.14285714285714,65.14285714285714,14.0,28,6.0,0.6785714285714286,68.28571428571429,59.464285714285715,8.821428571428577,28,11.0,0,0,0.1428571428571428,5.1785714285714235,5.0,0,1
2003,3280,3264,Mississippi St,Manhattan,0.7666666666666667,75.16666666666667,63.833333333333336,11.333333333333336,30,3.0,0.6896551724137931,63.37931034482759,58.206896551724135,5.172413793103452,29,14.0,0,0,0.07701149425287357,6.160919540229884,11.0,0,1
2003,3307,3274,New Mexico,Miami FL,0.7333333333333333,66.4,54.93333333333333,11.466666666666676,30,6.0,0.5862068965517241,73.06896551724138,68.6896551724138,4.379310344827587,29,11.0,0,0,0.1471264367816092,7.0873563218390885,5.0,0,1
2003,3314,3122,North Carolina,Austin Peay,0.84375,76.28125,61.84375,14.4375,32,3.0,0.896551724137931,73.72413793103448,61.13793103448276,12.586206896551715,29,14.0,0,0,-0.05280172413793105,1.8512931034482847,11.0,0,1
2003,3345,3434,Purdue,Valparaiso,0.8387096774193549,73.87096774193549,61.483870967741936,12.387096774193552,31,2.0,0.5714285714285714,62.892857142857146,58.92857142857143,3.9642857142857153,28,15.0,0,0,0.2672811059907835,8.422811059907836,13.0,0,1
2003,3353,3443,Rutgers,WKU,0.7407407407407407,67.51851851851852,56.592592592592595,10.925925925925924,27,4.0,0.7333333333333333,72.56666666666666,65.4,7.166666666666657,30,13.0,0,0,0.007407407407407418,3.7592592592592666,9.0,0,1
2003,3390,3444,Stanford,W Michigan,0.8666666666666667,70.83333333333333,58.4,12.43333333333333,30,3.0,0.6451612903225806,79.25806451612904,68.96774193548387,10.290322580645167,31,14.0,0,0,0.22150537634408607,2.1430107526881628,11.0,0,1
2003,3397,3106,Tennessee,Alabama St,0.8709677419354839,78.45161290322581,60.25806451612903,18.193548387096776,31,1.0,0.6551724137931034,64.13793103448276,59.48275862068966,4.655172413793103,29,16.0,0,0,0.21579532814238045,13.538375973303673,15.0,0,1
2003,3435,3251,Vanderbilt,Liberty,0.7,74.3,63.96666666666667,10.333333333333329,30,4.0,0.896551724137931,71.0,54.724137931034484,16.275862068965516,29,13.0,0,0,-0.1965517241379311,-5.942528735632187,9.0,0,1
2003,3438,3228,Virginia,Illinois,0.5517241379310345,63.13793103448276,61.689655172413794,1.448275862068968,29,8.0,0.6071428571428571,71.82142857142857,68.25,3.5714285714285694,28,9.0,0,0,-0.05541871921182262,-2.1231527093596014,1.0,0,1
2003,3439,3210,Virginia Tech,Georgia Tech,0.7,64.4,59.4,5.000000000000007,30,7.0,0.6666666666666666,68.6,62.766666666666666,5.833333333333329,30,10.0,0,0,0.033333333333333326,-0.8333333333333215,3.0,0,1
2003,3453,3449,WI Green Bay,Washington,0.9,78.5,58.6,19.9,30,8.0,0.7586206896551724,75.93103448275862,66.86206896551724,9.06896551724138,29,9.0,0,0,0.14137931034482765,10.831034482758618,1.0,0,1
2003,3116,3153,Arkansas,Cincinnati,0.6774193548387096,68.06451612903226,60.70967741935484,7.354838709677416,31,7.0,0.7666666666666667,71.3,60.03333333333333,11.266666666666666,30,10.0,0,0,-0.08924731182795709,-3.9118279569892493,3.0,0,1
2003,3163,3131,Connecticut,Boston Univ,0.96875,74.4375,52.25,22.1875,32,1.0,0.5333333333333333,65.1,63.7,1.3999999999999915,30,16.0,0,0,0.4354166666666667,20.78750000000001,15.0,0,1
2003,3181,3209,Duke,Georgia St,0.96875,81.625,53.625,28.0,32,1.0,0.6551724137931034,64.75862068965517,58.62068965517241,6.137931034482762,29,16.0,0,0,0.3135775862068966,21.86206896551724,15.0,0,1
2003,3203,3328,G Washington,Oklahoma,0.8,72.53333333333333,59.63333333333333,12.899999999999999,30,7.0,0.6129032258064516,67.03225806451613,62.16129032258065,4.87096774193548,31,10.0,0,0,0.18709677419354842,8.029032258064518,3.0,0,1
2003,3243,3217,Kansas St,Harvard,0.875,75.21875,57.09375,18.125,32,3.0,0.8461538461538461,70.3076923076923,65.1923076923077,5.115384615384613,26,14.0,0,0,0.028846153846153855,13.009615384615387,11.0,0,1
2003,3256,3337,Louisiana Tech,Pepperdine,0.9354838709677419,78.54838709677419,57.0,21.548387096774192,31,5.0,0.7586206896551724,72.37931034482759,64.06896551724138,8.310344827586206,29,12.0,0,0,0.1768631813125695,13.238042269187986,7.0,0,1
2003,3323,3112,Notre Dame,Arizona,0.6551724137931034,66.44827586206897,61.793103448275865,4.655172413793103,29,11.0,0.7333333333333333,73.6,62.8,10.799999999999997,30,6.0,0,0,-0.07816091954022986,-6.144827586206894,-5.0,0,1
2003,3326,3451,Ohio St,Weber St,0.6896551724137931,67.13793103448276,57.37931034482759,9.758620689655174,29,4.0,0.7241379310344828,64.79310344827586,56.6551724137931,8.137931034482754,29,13.0,0,0,-0.03448275862068961,1.62068965517242,9.0,0,1
2003,3336,3221,Penn St,Holy Cross,0.75,77.53125,66.5625,10.96875,32,4.0,0.7741935483870968,69.03225806451613,63.29032258064516,5.741935483870968,31,13.0,0,0,-0.024193548387096753,5.226814516129032,9.0,0,1
2003,3364,3462,UC Santa Barbara,Xavier,0.8666666666666667,74.3,56.93333333333333,17.366666666666667,30,7.0,0.6896551724137931,68.17241379310344,61.310344827586206,6.862068965517238,29,10.0,0,0,0.17701149425287355,10.504597701149429,3.0,0,1
2003,3376,3151,South Carolina,Chattanooga,0.7586206896551724,74.44827586206897,58.827586206896555,15.620689655172413,29,5.0,0.8666666666666667,73.6,60.2,13.399999999999991,30,12.0,0,0,-0.10804597701149432,2.2206896551724213,7.0,0,1
2003,3395,3277,TCU,Michigan St,0.59375,68.25,62.53125,5.71875,32,9.0,0.6071428571428571,69.46428571428571,61.035714285714285,8.428571428571423,28,8.0,0,0,-0.013392857142857095,-2.7098214285714235,-1.0,0,1
2003,3400,3214,Texas,Hampton,0.8333333333333334,74.4,55.53333333333333,18.866666666666674,30,2.0,0.7419354838709677,68.90322580645162,64.6774193548387,4.225806451612911,31,15.0,0,0,0.09139784946236562,14.640860215053763,13.0,0,1
